tax_num,avg_tax_incm,fine_code,fine_name,broad_code,broad_name
380,43029.8947368421,29220, Waste Remediation and Materials Recovery Services,D,"Electricity, Gas, Water and Waste Services"
11518,51466.2432714013,30110, House Construction,E,Construction
6787,51083.4999263298,30190, Other Residential Building Construction,E,Construction
2280,59850.5219298246,30200, Non-Residential Building Construction,E,Construction
381,61484.6509186352,31010, Road and Bridge Construction,E,Construction
518,51365.3281853282,31091, Swimming and Spa Pool Construction or Installation (Below Ground Concrete or Fibreglass),E,Construction
1250,59399.9136,31099, Other Heavy and Civil Engineering Construction n.e.c.,E,Construction
593,142895.212478921,32110, Land Development and Subdivision,E,Construction
3608,50327.4886363636,32120, Site Preparation Services,E,Construction
7923,49027.1177584248,32210, Concreting Services,E,Construction
10164,44358.1608618654,32220, Bricklaying Services,E,Construction
3513,49656.4323939653,32230, Roofing Services,E,Construction
1304,51135.5007668712,32240, Structural Steel Erection Services,E,Construction
13000,55574.8431538462,32310, Plumbing Services,E,Construction
18965,61080.2781439494,32320, Electrical Services,E,Construction
3121,55725.761614867,32330, Air Conditioning and Heating Services,E,Construction
1149,54144.2062663185,32340, Fire and Security Alarm Installation Services,E,Construction
4178,49011.1287697463,32390, Other Building Installation Services,E,Construction
12775,43251.4832093933,32410, Plastering and Ceiling Services,E,Construction
36870,49559.5911310008,32420, Carpentry Services,E,Construction
15777,43387.6358623312,32430, Tiling and Carpeting Services,E,Construction
28484,40286.8425431821,32440, Painting and Decorating Services,E,Construction
1445,52452.7079584775,32450, Glazing Services,E,Construction
11565,43236.7276264591,32910, Landscape Construction Services,E,Construction
2720,58187.1169117647,32920, Hire of Construction Machinery with Operator,E,Construction
24115,41143.4580136844,32990, Other Construction Services n.e.c.,E,Construction
24,58238.7916666667,33110, Wool Wholesaling,F,Wholesale Trade
22,55962.3181818182,33120, Cereal Grain Wholesaling,F,Wholesale Trade
1221,60468.7256347256,33190, Other Agricultural Product Wholesaling,F,Wholesale Trade
29,49777.2068965517,33210, Petroleum Product Wholesaling,F,Wholesale Trade
716,39764.3575418994,33221, Metal Waste and Scrap Wholesaling,F,Wholesale Trade
32,55988.25,33229, Other Metal and Mineral Wholesaling,F,Wholesale Trade
223,46115.2242152466,33230, Industrial and Agricultural Chemical Product Wholesaling,F,Wholesale Trade
180,51865.9444444445,33310, Timber Wholesaling,F,Wholesale Trade
181,50656.9834254144,33320, Plumbing Goods Wholesaling,F,Wholesale Trade
479,46444.6012526096,33390, Other Hardware Goods Wholesaling,F,Wholesale Trade
37,60277.8918918919,34110, Agricultural and Construction Machinery Wholesaling,F,Wholesale Trade
203,55035.4679802956,34190, Other Specialised Industrial Machinery and Equipment Wholesaling,F,Wholesale Trade
126,66713.6031746032,34910, Professional and Scientific Goods Wholesaling,F,Wholesale Trade
119,55220.9831932773,34920, Computer and Computer Peripheral Wholesaling,F,Wholesale Trade
86,46419.7325581395,34930, Telecommunication Goods Wholesaling,F,Wholesale Trade
503,50151.8051689861,34940, Other Electrical and Electronic Goods Wholesaling,F,Wholesale Trade
240,50472.4541666667,34990, Other Machinery and Equipment Wholesaling n.e.c.,F,Wholesale Trade
190,58671.9421052632,35010, Car Wholesaling,F,Wholesale Trade
31,62160.2903225806,35020, Commercial Vehicle Wholesaling,F,Wholesale Trade
36,54469.4722222222,35030, Trailer and Other Motor Vehicle Wholesaling,F,Wholesale Trade
397,46992.3299748111,35040, Motor Vehicle New Parts Wholesaling,F,Wholesale Trade
360,40825.0388888889,35050, Motor Vehicle Dismantling and Used Parts Wholesaling,F,Wholesale Trade
31,37686.7741935484,36010, General Line Grocery Wholesaling,F,Wholesale Trade
181,45327.0497237569,36020," Meat, Poultry and Smallgoods Wholesaling",F,Wholesale Trade
41,40773.9268292683,36030, Dairy Produce Wholesaling,F,Wholesale Trade
114,43095.8421052632,36040, Fish and Seafood Wholesaling,F,Wholesale Trade
345,40189.5188405797,36050, Fruit and Vegetable Wholesaling,F,Wholesale Trade
97,50464.3505154639,36061, Liquor Wholesaling,F,Wholesale Trade
40,50990.5,36062, Tobacco Product Wholesaling,F,Wholesale Trade
741,43630.8893387314,36090, Other Grocery Wholesaling,F,Wholesale Trade
169,37241.9349112426,37110, Textile Product Wholesaling,F,Wholesale Trade
542,48443.7601476015,37120, Clothing and Footwear Wholesaling,F,Wholesale Trade
222,56574.5225225225,37200, Pharmaceutical and Toiletry Goods Wholesaling,F,Wholesale Trade
116,42107.5862068966,37310, Furniture and Floor Covering Wholesaling,F,Wholesale Trade
316,42035.8987341772,37320, Jewellery and Watch Wholesaling,F,Wholesale Trade
269,44770.1524163569,37330, Kitchen and Diningware Wholesaling,F,Wholesale Trade
231,51004.0303030303,37340, Toy and Sporting Goods Wholesaling,F,Wholesale Trade
108,48272.1851851852,37350, Book and Magazine Wholesaling,F,Wholesale Trade
95,38594.0842105263,37360, Paper Product Wholesaling,F,Wholesale Trade
1863,46549.9871175523,37390, Other Goods Wholesaling n.e.c.,F,Wholesale Trade
1023,46026.4555229717,38000, Commission-Based Wholesaling,F,Wholesale Trade
1031,38923.7934044617,39110, Car Retailing,G,Retail Trade
168,46071.9285714286,39120, Motor Cycle Retailing,G,Retail Trade
166,45743.0602409639,39130, Trailer and Other Motor Vehicle Retailing,G,Retail Trade
69,48680.463768116,39211, Motor Vehicle Battery Retailing,G,Retail Trade
548,47496.7098540146,39219, Motor Vehicle Parts Retailing n.e.c.,G,Retail Trade
184,45444.2336956522,39220, Tyre Retailing,G,Retail Trade
183,58226.1639344262,40000, Fuel Retailing,G,Retail Trade
1017,32250.0294985251,41100, Supermarket and Grocery Stores,G,Retail Trade
519,43325.1464354528,41211, Meat Retailing (Except Poultry or Canned Meat),G,Retail Trade
142,36106.3309859155,41212, Fresh Fish Retailing,G,Retail Trade
19,33123.7894736842,41213, Fresh Poultry Retailing,G,Retail Trade
629,36896.0349761526,41220, Fruit and Vegetable Retailing,G,Retail Trade
223,49686.865470852,41230, Liquor Retailing,G,Retail Trade
4051,37712.6768699087,41290, Other Specialised Food Retailing,G,Retail Trade
701,35577.5106990014,42110, Furniture Retailing,G,Retail Trade
452,45316.0597345133,42120, Floor Coverings Retailing,G,Retail Trade
1225,36586.4653061225,42130, Houseware Retailing,G,Retail Trade
1029,37702.4246841594,42140, Manchester and Other Textile Goods Retailing,G,Retail Trade
2062,46630.8128031038,42210," Electrical, Electronic and Gas Appliance Retailing",G,Retail Trade
975,43460.4492307692,42220, Computer and Computer Peripheral Retailing,G,Retail Trade
451,43688.4767184035,42290, Other Electrical and Electronic Goods Retailing,G,Retail Trade
495,42382.8686868687,42310, Hardware and Building Supplies Retailing,G,Retail Trade
800,40833.335,42320, Garden Supplies Retailing,G,Retail Trade
1063,46861.8889934149,42410, Sport and Camping Equipment Retailing,G,Retail Trade
769,46381.821846554,42420, Entertainment Media Retailing,G,Retail Trade
1108,41525.1868231047,42430, Toy and Game Retailing,G,Retail Trade
275,32720.0872727273,42441, Newsagents,G,Retail Trade
560,44461.9285714286,42442, Book Retailing,G,Retail Trade
228,50867.3333333333,42450, Marine Equipment Retailing,G,Retail Trade
7734,39024.5777088182,42510, Clothing Retailing,G,Retail Trade
359,39788.356545961,42520, Footwear Retailing,G,Retail Trade
818,36958.8740831296,42530, Watch and Jewellery Retailing,G,Retail Trade
1205,36937.8970954357,42590, Other Personal Accessory Retailing,G,Retail Trade
14,39955.2142857143,42600, Department Stores,G,Retail Trade
2496,177992.639022436,42711, Chemist or Pharmacy Operations,G,Retail Trade
818,43923.1687041565,42712," Cosmetics, Perfumes and Toiletry Goods Retailing (Except Direct Marketing) n.e.c.",G,Retail Trade
541,42855.7282809612,42720, Stationery Goods Retailing,G,Retail Trade
35,59351.6285714286,42731, Pawnbroking,G,Retail Trade
737,32470.8656716418,42732, Antiques Retailing (Except Pawnbroking or Disposal Stores),G,Retail Trade
992,31743.5574596774,42733, Disposal Stores (Second Hand Goods Retailing Except Pawnbroking and Antiques),G,Retail Trade
2450,34884.5555102041,42740, Flower Retailing,G,Retail Trade
203,46215.6650246306,42791, Swimming Pool and Spa Retailing,G,Retail Trade
987,41406.3890577508,42792, Art Dealers (Including Retail Art Gallery Operation Except by Direct Marketing),G,Retail Trade
100,46961.72,42793, Adult Sex Shop Operation,G,Retail Trade
1002,34348.745508982,42794, Pets Retailing,G,Retail Trade
7189,37702.7016274864,42799, Other Store-Based Retailing n.e.c.,G,Retail Trade
1790,46277.4899441341,43101," Cosmetics, Perfumes and Toiletry Goods Retailing by Direct Marketing (Except Commission Based)",G,Retail Trade
1242,40492.9371980676,43102, Jewellery Retailing by Direct Marketing (Except Commission Based),G,Retail Trade
6420,41849.041588785,43109, Non-Store Retailing n.e.c.,G,Retail Trade
1053,44181.7701804369,43201," Cosmetics, Perfumes and Toiletry Goods Retailing Commission Based",G,Retail Trade
140,39263.4642857143,43202, Jewellery Retailing Commission Based,G,Retail Trade
4378,43348.3391959799,43209, Retail Commission-Based Buying and/or Selling n.e.c.,G,Retail Trade
3967,48559.5276027225,44000, Accommodation,H,Accommodation and Food Services
6645,30411.7984951091,45110, Cafes and Restaurants,H,Accommodation and Food Services
6478,30827.38036431,45120, Takeaway Food Services,H,Accommodation and Food Services
3959,38940.3793887345,45130, Catering Services,H,Accommodation and Food Services
307,36195.3778501629,45200," Pubs, Taverns and Bars",H,Accommodation and Food Services
90,35120.8444444445,45301, Licensed Clubs (Hospitality) Operation,H,Accommodation and Food Services
72,36425.6527777778,45302, Unlicensed Clubs (Hospitality) Operation,H,Accommodation and Food Services
16920,38501.9669030733,46100, Road Freight Transport,I,"Transport, Postal and Warehousing"
333,42797.5345345345,46210, Interurban and Rural Bus Transport,I,"Transport, Postal and Warehousing"
802,44996.0211970075,46220, Urban Bus Transport (Including Tramway),I,"Transport, Postal and Warehousing"
23283,39654.8798694326,46231, Taxi Service Operation,I,"Transport, Postal and Warehousing"
14060,41913.5919630157,46239, Other Road Transport (Except Taxi),I,"Transport, Postal and Warehousing"
10,98954.2,47100, Rail Freight Transport,I,"Transport, Postal and Warehousing"
178,107830.556179775,48100, Water Freight Transport,I,"Transport, Postal and Warehousing"
250,66558.056,48200, Water Passenger Transport,I,"Transport, Postal and Warehousing"
216,96336.212962963,49001, Aircraft Charter and Lease,I,"Transport, Postal and Warehousing"
32,65132.40625,49009, Other Air and Space Transport,I,"Transport, Postal and Warehousing"
540,53515.3462962963,50100, Scenic and Sightseeing Transport,I,"Transport, Postal and Warehousing"
3616,41446.9452433628,50290, Other Transport n.e.c.,I,"Transport, Postal and Warehousing"
1071,40436.7703081233,51010, Postal Services,I,"Transport, Postal and Warehousing"
21155,33319.9110848499,51020, Courier Pick-up and Delivery Services,I,"Transport, Postal and Warehousing"
23,46907.2608695652,52110, Stevedoring Services,I,"Transport, Postal and Warehousing"
25,63430.48,52120, Port and Water Transport Terminal Operations,I,"Transport, Postal and Warehousing"
519,58190.140655106,52190, Other Water Transport Support Services,I,"Transport, Postal and Warehousing"
317,76390.1514195584,52200, Airport Operations and Other Air Transport Support Services,I,"Transport, Postal and Warehousing"
160,50342.93125,52910, Customs Agency Services,I,"Transport, Postal and Warehousing"
263,46945.8403041825,52920, Freight Forwarding Services,I,"Transport, Postal and Warehousing"
53385,35137.3665449096,52991, Taxi Driver,I,"Transport, Postal and Warehousing"
1882,41854.6896918172,52999, Other Transport Support Services n.e.c.,I,"Transport, Postal and Warehousing"
12,360817.75,53010, Grain Storage Services,I,"Transport, Postal and Warehousing"
