"","Quarter","Year","Quarter2","Industry","Employment","broad_name","broad_code"
"103",2018-08-01,"2018","08-01","A84090252J",451.2893964,"Financial and Insurance Services","K"
"104",2018-11-01,"2018","11-01","A84090252J",440.2717082,"Financial and Insurance Services","K"
"105",2019-02-01,"2019","02-01","A84090252J",449.7786157,"Financial and Insurance Services","K"
"106",2019-05-01,"2019","05-01","A84090252J",438.7619986,"Financial and Insurance Services","K"
"107",2019-08-01,"2019","08-01","A84090252J",441.3618958,"Financial and Insurance Services","K"
"108",2019-11-01,"2019","11-01","A84090252J",461.6121485,"Financial and Insurance Services","K"
"109",2020-02-01,"2020","02-01","A84090252J",474.4765721,"Financial and Insurance Services","K"
"110",2020-05-01,"2020","05-01","A84090252J",489.8300245,"Financial and Insurance Services","K"
"111",2018-02-01,"2018","02-01","A84090263R",212.0965055,"Rental, Hiring and Real Estate Services","L"
"112",2018-05-01,"2018","05-01","A84090263R",220.6607145,"Rental, Hiring and Real Estate Services","L"
"113",2018-08-01,"2018","08-01","A84090263R",212.7928557,"Rental, Hiring and Real Estate Services","L"
"114",2018-11-01,"2018","11-01","A84090263R",213.5689868,"Rental, Hiring and Real Estate Services","L"
"115",2019-02-01,"2019","02-01","A84090263R",208.9578332,"Rental, Hiring and Real Estate Services","L"
"116",2019-05-01,"2019","05-01","A84090263R",214.0744012,"Rental, Hiring and Real Estate Services","L"
"117",2019-08-01,"2019","08-01","A84090263R",207.5349195,"Rental, Hiring and Real Estate Services","L"
"118",2019-11-01,"2019","11-01","A84090263R",216.0128079,"Rental, Hiring and Real Estate Services","L"
"119",2020-02-01,"2020","02-01","A84090263R",213.7306555,"Rental, Hiring and Real Estate Services","L"
"120",2020-05-01,"2020","05-01","A84090263R",219.8955205,"Rental, Hiring and Real Estate Services","L"
"121",2018-02-01,"2018","02-01","A84090253K",1029.9532135,"Professional, Scientific and Technical Services","M"
"122",2018-05-01,"2018","05-01","A84090253K",1054.8897118,"Professional, Scientific and Technical Services","M"
"123",2018-08-01,"2018","08-01","A84090253K",1069.7848912,"Professional, Scientific and Technical Services","M"
"124",2018-11-01,"2018","11-01","A84090253K",1071.8231018,"Professional, Scientific and Technical Services","M"
"125",2019-02-01,"2019","02-01","A84090253K",1133.3472504,"Professional, Scientific and Technical Services","M"
"126",2019-05-01,"2019","05-01","A84090253K",1138.6813491,"Professional, Scientific and Technical Services","M"
"127",2019-08-01,"2019","08-01","A84090253K",1161.4590016,"Professional, Scientific and Technical Services","M"
"128",2019-11-01,"2019","11-01","A84090253K",1146.5104561,"Professional, Scientific and Technical Services","M"
"129",2020-02-01,"2020","02-01","A84090253K",1171.8933615,"Professional, Scientific and Technical Services","M"
"130",2020-05-01,"2020","05-01","A84090253K",1108.8607752,"Professional, Scientific and Technical Services","M"
"131",2018-02-01,"2018","02-01","A84090260J",430.527789,"Administrative and Support Services","N"
"132",2018-05-01,"2018","05-01","A84090260J",419.2799096,"Administrative and Support Services","N"
"133",2018-08-01,"2018","08-01","A84090260J",399.4611458,"Administrative and Support Services","N"
"134",2018-11-01,"2018","11-01","A84090260J",412.3951655,"Administrative and Support Services","N"
"135",2019-02-01,"2019","02-01","A84090260J",438.4639365,"Administrative and Support Services","N"
"136",2019-05-01,"2019","05-01","A84090260J",465.6021512,"Administrative and Support Services","N"
"137",2019-08-01,"2019","08-01","A84090260J",473.663512,"Administrative and Support Services","N"
"138",2019-11-01,"2019","11-01","A84090260J",436.8176229,"Administrative and Support Services","N"
"139",2020-02-01,"2020","02-01","A84090260J",449.9284409,"Administrative and Support Services","N"
"140",2020-05-01,"2020","05-01","A84090260J",392.5796161,"Administrative and Support Services","N"
"141",2018-02-01,"2018","02-01","A84090261K",700.0386073,"Public Administration and Safety","O"
"142",2018-05-01,"2018","05-01","A84090261K",784.41747,"Public Administration and Safety","O"
"143",2018-08-01,"2018","08-01","A84090261K",815.0618908,"Public Administration and Safety","O"
"144",2018-11-01,"2018","11-01","A84090261K",832.9982594,"Public Administration and Safety","O"
"145",2019-02-01,"2019","02-01","A84090261K",864.3644117,"Public Administration and Safety","O"
"146",2019-05-01,"2019","05-01","A84090261K",831.5014685,"Public Administration and Safety","O"
"147",2019-08-01,"2019","08-01","A84090261K",797.478851,"Public Administration and Safety","O"
"148",2019-11-01,"2019","11-01","A84090261K",836.4682965,"Public Administration and Safety","O"
"149",2020-02-01,"2020","02-01","A84090261K",828.5329749,"Public Administration and Safety","O"
"150",2020-05-01,"2020","05-01","A84090261K",846.3292826,"Public Administration and Safety","O"
"151",2018-02-01,"2018","02-01","A84090250C",1009.9627927,"Education and Training","P"
"152",2018-05-01,"2018","05-01","A84090250C",1008.316047,"Education and Training","P"
"153",2018-08-01,"2018","08-01","A84090250C",1031.7681367,"Education and Training","P"
"154",2018-11-01,"2018","11-01","A84090250C",1062.9809265,"Education and Training","P"
"155",2019-02-01,"2019","02-01","A84090250C",1001.1168672,"Education and Training","P"
"156",2019-05-01,"2019","05-01","A84090250C",1071.4657311,"Education and Training","P"
"157",2019-08-01,"2019","08-01","A84090250C",1115.287679,"Education and Training","P"
"158",2019-11-01,"2019","11-01","A84090250C",1088.2988854,"Education and Training","P"
"159",2020-02-01,"2020","02-01","A84090250C",1096.5788582,"Education and Training","P"
"160",2020-05-01,"2020","05-01","A84090250C",1035.7711251,"Education and Training","P"
"161",2018-02-01,"2018","02-01","A84090254L",1689.103745,"Health Care and Social Assistance","Q"
"162",2018-05-01,"2018","05-01","A84090254L",1673.391603,"Health Care and Social Assistance","Q"
"163",2018-08-01,"2018","08-01","A84090254L",1676.0974214,"Health Care and Social Assistance","Q"
"164",2018-11-01,"2018","11-01","A84090254L",1686.9373317,"Health Care and Social Assistance","Q"
"165",2019-02-01,"2019","02-01","A84090254L",1697.7948377,"Health Care and Social Assistance","Q"
"166",2019-05-01,"2019","05-01","A84090254L",1678.0719897,"Health Care and Social Assistance","Q"
"167",2019-08-01,"2019","08-01","A84090254L",1741.2090884,"Health Care and Social Assistance","Q"
"168",2019-11-01,"2019","11-01","A84090254L",1775.1178821,"Health Care and Social Assistance","Q"
"169",2020-02-01,"2020","02-01","A84090254L",1798.3281708,"Health Care and Social Assistance","Q"
"170",2020-05-01,"2020","05-01","A84090254L",1731.2430317,"Health Care and Social Assistance","Q"
"171",2018-02-01,"2018","02-01","A84090249V",257.5074967,"Arts and Recreation Services","R"
"172",2018-05-01,"2018","05-01","A84090249V",246.3585766,"Arts and Recreation Services","R"
"173",2018-08-01,"2018","08-01","A84090249V",244.0221678,"Arts and Recreation Services","R"
"174",2018-11-01,"2018","11-01","A84090249V",240.6488614,"Arts and Recreation Services","R"
"175",2019-02-01,"2019","02-01","A84090249V",254.9965573,"Arts and Recreation Services","R"
"176",2019-05-01,"2019","05-01","A84090249V",256.9709322,"Arts and Recreation Services","R"
"177",2019-08-01,"2019","08-01","A84090249V",241.9440514,"Arts and Recreation Services","R"
"178",2019-11-01,"2019","11-01","A84090249V",251.0652052,"Arts and Recreation Services","R"
"179",2020-02-01,"2020","02-01","A84090249V",251.9061799,"Arts and Recreation Services","R"
"180",2020-05-01,"2020","05-01","A84090249V",160.0749747,"Arts and Recreation Services","R"
"181",2018-02-01,"2018","02-01","A84090264T",486.8052985,"Other Services","S"
"182",2018-05-01,"2018","05-01","A84090264T",477.0825438,"Other Services","S"
"183",2018-08-01,"2018","08-01","A84090264T",479.2343932,"Other Services","S"
"184",2018-11-01,"2018","11-01","A84090264T",485.4799637,"Other Services","S"
"185",2019-02-01,"2019","02-01","A84090264T",530.0670502,"Other Services","S"
"186",2019-05-01,"2019","05-01","A84090264T",523.219046,"Other Services","S"
"187",2019-08-01,"2019","08-01","A84090264T",504.8991372,"Other Services","S"
"188",2019-11-01,"2019","11-01","A84090264T",498.9818474,"Other Services","S"
"189",2020-02-01,"2020","02-01","A84090264T",492.9104722,"Other Services","S"
"190",2020-05-01,"2020","05-01","A84090264T",442.6000536,"Other Services","S"
